strain,virus,gisaid_epi_isl,genbank_accession,date,region,country,division,location,region_exposure,country_exposure,division_exposure,segment,length,host,age,sex,Nextstrain_clade,pangolin_lineage,GISAID_clade,originating_lab,submitting_lab,authors,url,title,paper_url,date_submitted,purpose_of_sequencing
hCoV-19/England/CAMB-79E17/2020,betacoronavirus,EPI_ISL_441282,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7B589/2020,betacoronavirus,EPI_ISL_441286,?,03/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B,V,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-78E36/2020,betacoronavirus,EPI_ISL_441288,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.391,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A14A/2020,betacoronavirus,EPI_ISL_441289,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1.178,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79DB0/2020,betacoronavirus,EPI_ISL_441292,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.40,V,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A353/2020,betacoronavirus,EPI_ISL_441293,?,01/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A7DF/2020,betacoronavirus,EPI_ISL_441294,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.22,GH,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79C2C/2020,betacoronavirus,EPI_ISL_441295,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.201,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79D29/2020,betacoronavirus,EPI_ISL_441298,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1,GH,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79DED/2020,betacoronavirus,EPI_ISL_441299,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1.43,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A0F2/2020,betacoronavirus,EPI_ISL_441300,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.31,V,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A65A/2020,betacoronavirus,EPI_ISL_441303,?,01/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.229,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79CD1/2020,betacoronavirus,EPI_ISL_441308,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79B7A/2020,betacoronavirus,EPI_ISL_441310,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79FBA/2020,betacoronavirus,EPI_ISL_441311,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A274/2020,betacoronavirus,EPI_ISL_441314,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A1D1/2020,betacoronavirus,EPI_ISL_441321,?,01/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7908A/2020,betacoronavirus,EPI_ISL_441322,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.76,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79EDB/2020,betacoronavirus,EPI_ISL_441325,?,01/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.40,V,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79E71/2020,betacoronavirus,EPI_ISL_441328,?,01/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A20B/2020,betacoronavirus,EPI_ISL_441331,?,01/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A405/2020,betacoronavirus,EPI_ISL_441334,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.40,V,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A04D/2020,betacoronavirus,EPI_ISL_441337,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1,G,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A195/2020,betacoronavirus,EPI_ISL_441338,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-77F70/2020,betacoronavirus,EPI_ISL_441339,?,31/03/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.13,GH,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79F7E/2020,betacoronavirus,EPI_ISL_441340,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1,GH,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-79E53/2020,betacoronavirus,EPI_ISL_441341,?,01/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29779,Human,unknown,unknown,?,B,L,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A99D/2020,betacoronavirus,EPI_ISL_441344,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A836/2020,betacoronavirus,EPI_ISL_441345,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1.257,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
hCoV-19/England/CAMB-7A0A7/2020,betacoronavirus,EPI_ISL_441346,?,02/04/2020,Europe,United Kingdom,England,,Europe,United Kingdom,England,genome,29782,Human,unknown,unknown,?,B.1.1,GR,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)",https://www.gisaid.org/,?,?,12/05/2020,?
